Winner,Loser,Tournament,Tournament_Date,Court_Surface,Round_Description,Winner_Rank,Loser_Rank,Retirement_Ind,Winner_Sets_Won,Winner_Games_Won,Winner_Aces,Winner_DoubleFaults,Winner_FirstServes_Won,Winner_FirstServes_In,Winner_SecondServes_Won,Winner_SecondServes_In,Winner_BreakPoints_Won,Winner_BreakPoints,Winner_ReturnPoints_Won,Winner_ReturnPoints_Faced,Winner_TotalPoints_Won,Loser_Sets_Won,Loser_Games_Won,Loser_Aces,Loser_DoubleFaults,Loser_FirstServes_Won,Loser_FirstServes_In,Loser_SecondServes_Won,Loser_SecondServes_In,Loser_BreakPoints_Won,Loser_BreakPoints,Loser_ReturnPoints_Won,Loser_ReturnPoints_Faced,Loser_TotalPoints_Won
Daniel Gimeno-Traver,Karen Khachanov,Miami,17-Mar-14,Hard,First Round,99,453,0,2,18,6,2,36,43,22,36,6,12,43,94,101,1,9,5,4,33,52,18,42,1,2,21,79,72
Lukas Lacko,Kenny De Schepper,Miami,17-Mar-14,Hard,First Round,105,66,0,2,12,10,0,23,26,21,31,2,6,21,62,65,0,8,10,5,28,38,13,24,0,3,13,57,54
Julien Benneteau,Kyle Edmund,Miami,17-Mar-14,Hard,First Round,52,298,0,2,18,15,3,39,48,24,43,5,10,34,85,97,1,12,6,3,35,52,16,33,2,5,28,91,79
Dominic Thiem,Lukas Rosol,Miami,17-Mar-14,Hard,First Round,86,38,0,2,13,5,2,30,35,21,35,2,8,32,84,83,0,10,10,5,35,47,17,37,1,4,19,70,71
Matthew Ebden,Lukasz Kubot,Miami,17-Mar-14,Hard,First Round,67,81,0,2,16,6,8,44,56,16,32,3,7,28,84,88,1,14,8,9,35,45,21,39,2,6,28,88,84
Alejandro Gonzalez,Malek Jaziri,Miami,17-Mar-14,Hard,First Round,83,118,0,2,13,2,3,27,34,20,31,3,6,25,65,72,0,7,4,3,25,37,15,28,0,6,18,65,58
Teymuraz Gabashvili,Marcel Granollers,Miami,17-Mar-14,Hard,First Round,60,36,0,2,12,5,2,20,23,17,29,3,8,26,62,63,0,7,9,3,25,34,11,28,0,0,15,52,51
Albert Montanes,Michal Przysiezny,Miami,17-Mar-14,Hard,First Round,59,75,0,2,18,5,3,47,58,23,42,2,9,33,104,103,1,16,12,7,44,62,27,42,2,4,30,100,101
Yen-Hsun Lu,Mikhail Kukushkin,Miami,17-Mar-14,Hard,First Round,50,56,1,2,9,2,1,16,19,8,10,3,4,21,40,45,0,2,2,3,14,30,5,10,0,0,5,29,24
Denis Istomin,Nicolas Mahut,Miami,17-Mar-14,Hard,First Round,57,39,0,2,14,9,1,48,58,12,27,1,1,29,82,89,0,12,3,2,39,56,14,26,1,2,25,85,78
Adrian Mannarino,Nikolay Davydenko,Miami,17-Mar-14,Hard,First Round,80,71,0,2,13,3,1,35,44,6,17,4,6,33,72,74,0,9,2,7,32,51,7,21,2,4,20,61,59
Joao Sousa,Pablo Carreno Busta,Miami,17-Mar-14,Hard,First Round,42,64,0,2,13,3,0,42,64,12,23,3,9,29,74,83,0,10,6,0,29,44,16,30,2,11,33,87,78
Ivo Karlovic,Paul-Henri Mathieu,Miami,17-Mar-14,Hard,First Round,53,114,0,2,14,21,1,36,45,22,27,0,0,24,80,82,0,12,3,1,39,50,17,30,0,0,14,72,70
Lleyton Hewitt,Robin Haase,Miami,17-Mar-14,Hard,First Round,44,46,0,2,15,3,2,30,40,18,31,4,8,43,102,91,1,12,7,5,36,55,23,47,2,5,23,71,82
Marcos Baghdatis,Santiago Giraldo,Miami,17-Mar-14,Hard,First Round,143,65,0,2,14,5,4,25,40,21,35,5,14,40,91,86,1,13,4,3,33,48,18,43,4,7,29,75,80
Sam Querrey,Sergiy Stakhovsky,Miami,17-Mar-14,Hard,First Round,62,79,0,2,13,6,2,29,33,17,27,2,10,26,72,72,0,9,4,3,31,44,15,28,0,1,14,60,60
Roberto Bautista Agut,Steve Johnson,Miami,17-Mar-14,Hard,First Round,47,101,0,2,16,2,5,41,51,11,19,4,13,45,101,97,1,10,17,2,41,65,15,36,1,2,18,70,74
Thiemo de Bakker,Victor Hanescu,Miami,17-Mar-14,Hard,First Round,162,84,0,2,12,4,1,23,27,14,21,3,6,26,58,63,0,5,1,1,23,39,9,19,0,2,11,48,43
Jo-Wilfried Tsonga,Adrian Mannarino,Miami,17-Mar-14,Hard,Second Round,11,80,0,2,12,4,4,22,26,15,21,3,6,23,53,60,0,6,1,3,23,33,7,20,0,0,10,47,40
Grigor Dimitrov,Albert Montanes,Miami,17-Mar-14,Hard,Second Round,16,59,0,2,18,12,3,46,48,20,34,3,8,32,89,98,1,11,3,4,40,56,17,33,0,2,16,82,73
Richard Gasquet,Alejandro Gonzalez,Miami,17-Mar-14,Hard,Second Round,9,83,0,2,13,7,0,30,41,15,21,3,13,43,106,88,0,10,4,2,41,58,22,48,2,2,17,62,80
Stan Wawrinka,Daniel Gimeno-Traver,Miami,17-Mar-14,Hard,Second Round,3,99,0,2,15,8,3,40,49,15,34,5,6,33,70,88,1,9,4,2,25,42,12,28,2,6,28,83,65
Denis Istomin,Dmitry Tursunov,Miami,17-Mar-14,Hard,Second Round,57,30,0,2,18,19,2,53,73,13,29,5,10,39,91,105,1,10,8,14,32,46,20,45,1,6,36,102,88
Tommy Robredo,Dominic Thiem,Miami,17-Mar-14,Hard,Second Round,17,86,0,2,13,7,1,28,39,18,31,3,7,29,74,75,0,10,1,4,38,52,7,22,2,2,24,70,69
John Isner,Donald Young,Miami,17-Mar-14,Hard,Second Round,10,77,0,2,18,16,1,50,62,14,26,4,6,33,94,97,1,14,7,5,41,61,20,33,2,2,24,88,85
Julien Benneteau,Ernests Gulbis,Miami,17-Mar-14,Hard,Second Round,52,22,0,2,17,7,5,43,55,21,41,3,9,39,105,103,1,15,14,10,36,51,30,54,2,4,32,96,98
Thiemo de Bakker,Fernando Verdasco,Miami,17-Mar-14,Hard,Second Round,162,29,0,2,19,16,3,48,61,25,47,4,11,43,113,116,1,15,6,10,55,77,15,36,2,7,35,108,105
Guillermo Garcia-Lopez,Gael Monfils,Miami,17-Mar-14,Hard,Second Round,55,24,0,2,13,2,3,18,22,15,29,6,10,32,59,65,0,7,2,6,20,35,7,24,3,3,18,51,45
Joao Sousa,Gilles Simon,Miami,17-Mar-14,Hard,Second Round,42,27,0,2,16,1,2,38,60,20,40,4,10,45,109,103,1,15,7,3,34,59,30,50,4,9,42,100,106
Kevin Anderson,Horacio Zeballos,Miami,17-Mar-14,Hard,Second Round,18,125,0,2,12,8,1,30,33,7,10,3,4,22,56,59,0,7,0,0,24,35,10,21,0,0,6,43,40
Florian Mayer,Ivan Dodig,Miami,17-Mar-14,Hard,Second Round,32,37,0,2,12,5,0,31,41,5,9,4,8,27,55,63,0,5,6,4,14,26,14,29,0,2,14,50,42
Roger Federer,Ivo Karlovic,Miami,17-Mar-14,Hard,Second Round,5,53,0,2,13,6,0,37,39,12,13,1,3,21,68,70,0,10,13,1,36,44,11,24,0,0,3,52,50
Milos Raonic,Jack Sock,Miami,17-Mar-14,Hard,Second Round,12,103,0,2,13,14,2,30,32,18,25,1,2,16,62,64,0,10,2,1,28,35,18,27,0,0,9,57,55
Alexandr Dolgopolov,Jarkko Nieminen,Miami,17-Mar-14,Hard,Second Round,23,40,0,2,12,2,1,21,31,16,24,4,11,31,67,68,0,6,2,2,21,41,15,26,1,6,18,55,54
Novak Djokovic,Jeremy Chardy,Miami,17-Mar-14,Hard,Second Round,2,48,0,2,12,8,2,31,44,11,21,3,3,22,49,64,0,7,2,2,18,25,9,24,1,3,23,65,50
Roberto Bautista Agut,Jerzy Janowicz,Miami,17-Mar-14,Hard,Second Round,47,20,0,2,12,3,3,27,36,12,19,3,5,25,52,64,0,5,1,3,16,31,11,21,0,5,16,55,43
Feliciano Lopez,Jiri Vesely,Miami,17-Mar-14,Hard,Second Round,34,73,0,2,13,12,2,31,37,20,36,2,5,24,63,75,0,8,9,3,28,44,11,19,0,4,22,73,61
Rafael Nadal,Lleyton Hewitt,Miami,17-Mar-14,Hard,Second Round,1,44,0,2,12,1,0,20,25,13,15,4,5,24,50,57,0,4,3,0,19,37,7,13,0,0,7,40,33
Fabio Fognini,Lukas Lacko,Miami,17-Mar-14,Hard,Second Round,14,105,0,2,12,4,3,23,26,18,26,2,6,23,65,64,0,8,3,3,26,30,16,35,0,0,11,52,53
Edouard Roger-Vasselin,Marin Cilic,Miami,17-Mar-14,Hard,Second Round,43,26,0,2,13,4,1,29,37,18,22,2,8,32,77,79,0,8,10,4,28,34,17,43,0,3,12,59,57
Kei Nishikori,Marinko Matosevic,Miami,17-Mar-14,Hard,Second Round,21,72,0,2,12,6,2,25,37,10,22,6,11,34,59,69,0,5,5,5,20,32,5,27,2,5,24,59,49
Andy Murray,Matthew Ebden,Miami,17-Mar-14,Hard,Second Round,6,67,0,2,15,5,3,32,46,13,23,6,16,43,83,88,1,7,3,7,24,47,16,36,2,11,24,69,64
Marcos Baghdatis,Philipp Kohlschreiber,Miami,17-Mar-14,Hard,Second Round,143,25,0,2,17,8,6,43,56,35,56,1,1,30,98,108,1,18,7,1,39,50,29,48,3,8,34,112,102
Andreas Seppi,Radek Stepanek,Miami,17-Mar-14,Hard,Second Round,33,49,0,2,17,6,6,28,48,33,65,6,14,51,115,112,1,16,6,6,32,50,32,65,6,16,52,113,116
Benjamin Becker,Ryan Harrison,Miami,17-Mar-14,Hard,Second Round,93,112,0,2,17,7,3,45,55,16,40,4,10,46,116,107,1,17,11,5,52,78,18,38,4,5,34,95,104
Nicolas Almagro,Sam Querrey,Miami,17-Mar-14,Hard,Second Round,19,62,0,2,12,13,0,27,29,13,21,2,6,22,62,62,0,8,8,2,23,29,17,33,0,0,10,50,50
Tomas Berdych,Stephane Robert,Miami,17-Mar-14,Hard,Second Round,7,90,0,2,13,9,0,27,31,11,19,4,6,34,76,72,0,7,3,7,18,22,24,54,1,3,12,50,54
David Ferrer,Teymuraz Gabashvili,Miami,17-Mar-14,Hard,Second Round,4,60,0,2,12,2,2,32,42,13,24,4,9,19,43,64,0,4,1,5,9,15,15,28,0,6,21,66,45
Aljaz Bedene,Vasek Pospisil,Miami,17-Mar-14,Hard,Second Round,119,28,0,2,19,8,3,42,46,31,47,2,4,34,106,107,1,15,7,2,44,59,28,47,0,0,20,93,92
Dusan Lajovic,Yen-Hsun Lu,Miami,17-Mar-14,Hard,Second Round,89,50,0,2,18,8,2,44,55,27,48,4,5,25,75,96,1,11,4,1,40,51,10,24,1,6,32,103,82
Benjamin Becker,Aljaz Bedene,Miami,17-Mar-14,Hard,Third Round,93,119,0,2,13,7,4,30,39,19,32,3,8,23,60,72,0,8,12,1,23,31,14,29,1,5,22,71,59
David Ferrer,Andreas Seppi,Miami,17-Mar-14,Hard,Third Round,4,33,0,2,12,1,2,18,24,17,24,4,8,24,48,59,0,5,2,2,14,24,10,24,1,1,13,48,37
Rafael Nadal,Denis Istomin,Miami,17-Mar-14,Hard,Third Round,1,57,0,2,12,3,0,19,27,7,8,6,7,28,44,54,0,1,4,1,11,25,5,19,0,3,9,35,25
Alexandr Dolgopolov,Dusan Lajovic,Miami,17-Mar-14,Hard,Third Round,23,89,0,2,16,6,5,35,43,20,41,5,11,41,100,96,1,12,6,3,44,66,15,34,3,4,29,84,88
Stan Wawrinka,Edouard Roger-Vasselin,Miami,17-Mar-14,Hard,Third Round,3,43,0,2,13,6,2,26,34,17,29,3,10,34,81,77,0,9,1,0,33,56,14,25,1,3,20,63,67
Andy Murray,Feliciano Lopez,Miami,17-Mar-14,Hard,Third Round,6,34,0,2,12,1,3,18,23,15,25,5,6,25,47,58,0,5,2,4,10,20,12,27,1,4,15,48,37
Kei Nishikori,Grigor Dimitrov,Miami,17-Mar-14,Hard,Third Round,21,16,0,2,14,9,0,38,44,16,30,1,2,26,76,80,0,11,11,4,34,46,16,30,0,1,20,74,70
Milos Raonic,Guillermo Garcia-Lopez,Miami,17-Mar-14,Hard,Third Round,12,55,0,2,12,10,0,20,22,12,15,4,7,26,50,58,0,3,0,1,18,23,6,27,0,0,5,37,29
Tomas Berdych,Joao Sousa,Miami,17-Mar-14,Hard,Third Round,7,42,0,2,12,4,1,16,26,17,24,5,9,34,69,67,0,6,0,5,26,37,9,32,2,5,17,50,52
Tommy Robredo,Julien Benneteau,Miami,17-Mar-14,Hard,Third Round,17,52,0,2,12,8,3,25,36,15,27,4,4,19,46,59,0,7,6,0,21,33,6,13,2,8,23,63,50
Richard Gasquet,Kevin Anderson,Miami,17-Mar-14,Hard,Third Round,9,18,0,2,12,6,0,32,44,14,22,2,8,26,67,72,0,7,8,1,30,45,11,22,0,5,20,66,61
Jo-Wilfried Tsonga,Marcos Baghdatis,Miami,17-Mar-14,Hard,Third Round,11,143,0,2,18,16,5,51,66,25,49,1,4,29,101,105,1,17,9,4,44,55,28,46,1,6,39,115,111
John Isner,Nicolas Almagro,Miami,17-Mar-14,Hard,Third Round,10,19,0,2,13,17,1,34,43,11,18,2,5,18,58,63,0,8,7,2,31,40,9,18,0,2,16,61,56
Fabio Fognini,Roberto Bautista Agut,Miami,17-Mar-14,Hard,Third Round,14,47,0,2,16,6,4,35,45,19,37,4,7,38,92,92,1,12,3,2,39,65,15,27,2,4,28,82,82
Roger Federer,Thiemo de Bakker,Miami,17-Mar-14,Hard,Third Round,5,162,0,2,12,6,1,22,26,14,17,3,9,30,68,66,0,6,7,2,27,41,11,27,0,0,7,43,45
Milos Raonic,Benjamin Becker,Miami,17-Mar-14,Hard,Fourth Round,12,93,0,2,12,15,3,35,41,14,26,2,6,24,60,73,0,7,0,3,23,32,13,28,0,8,18,67,54
Kei Nishikori,David Ferrer,Miami,17-Mar-14,Hard,Fourth Round,21,4,0,2,16,4,3,43,64,20,50,5,13,52,123,115,1,18,2,5,45,72,26,51,7,14,51,114,122
Rafael Nadal,Fabio Fognini,Miami,17-Mar-14,Hard,Fourth Round,1,14,0,2,12,3,1,22,23,10,12,4,8,22,48,54,0,4,2,1,17,27,9,21,0,0,3,35,29
Andy Murray,Jo-Wilfried Tsonga,Miami,17-Mar-14,Hard,Fourth Round,6,11,0,2,12,2,1,24,27,8,11,4,12,34,68,66,0,5,3,3,17,37,17,31,0,0,6,38,40
Tomas Berdych,John Isner,Miami,17-Mar-14,Hard,Fourth Round,7,10,0,2,13,7,3,30,34,15,25,2,8,30,73,75,0,8,9,1,30,47,13,26,0,2,14,59,57
Roger Federer,Richard Gasquet,Miami,17-Mar-14,Hard,Fourth Round,5,9,0,2,12,6,0,22,25,7,12,5,6,23,43,52,0,3,0,4,14,26,6,17,0,1,8,37,28
Alexandr Dolgopolov,Stan Wawrinka,Miami,17-Mar-14,Hard,Fourth Round,23,3,0,2,15,5,2,24,30,23,38,4,6,40,94,87,1,11,4,7,28,43,26,51,2,4,21,68,75
Novak Djokovic,Tommy Robredo,Miami,17-Mar-14,Hard,Fourth Round,2,17,0,2,13,5,2,32,39,14,21,2,2,21,58,67,0,8,2,1,31,44,6,14,0,1,14,60,51
Tomas Berdych,Alexandr Dolgopolov,Miami,17-Mar-14,Hard,Quarter-finals,7,23,0,2,13,11,2,36,44,10,20,3,9,35,83,81,0,10,9,3,33,40,15,43,2,3,18,64,66
Novak Djokovic,Andy Murray,Miami,17-Mar-14,Hard,Quarter-finals,2,6,0,2,13,7,3,35,48,10,18,3,6,25,60,70,0,8,1,5,25,39,10,21,1,2,21,66,56
Rafael Nadal,Milos Raonic,Miami,17-Mar-14,Hard,Quarter-finals,1,12,0,2,16,2,2,47,63,12,21,3,9,42,103,101,1,12,8,5,43,57,18,46,1,3,25,84,86
Kei Nishikori,Roger Federer,Miami,17-Mar-14,Hard,Quarter-finals,21,5,0,2,16,6,5,46,71,18,37,5,12,35,88,99,1,15,7,3,33,47,20,41,4,9,44,108,97
Novak Djokovic,Rafael Nadal,Miami,17-Mar-14,Hard,Finals,2,1,0,2,12,5,0,30,35,8,14,3,4,23,52,61,0,6,2,1,22,37,7,15,0,1,11,49,40
Roberto Carballes Baena,David Goffin,Casablanca,7-Apr-14,Clay,First Round,273,106,0,2,13,3,1,27,39,22,40,4,5,27,59,76,0,7,1,3,17,26,15,33,1,6,30,79,62
Filip Peliwo,Filippo Volandri,Casablanca,7-Apr-14,Clay,First Round,266,80,0,2,13,1,1,18,26,24,38,4,7,37,82,79,0,9,2,5,33,50,12,32,2,7,22,64,67
Federico Delbonis,Gilles Simon,Casablanca,7-Apr-14,Clay,First Round,43,27,0,2,12,1,2,29,38,15,25,2,3,20,57,64,0,8,1,2,21,26,16,31,0,2,19,63,56
Victor Hanescu,Hicham Khaddari,Casablanca,7-Apr-14,Clay,First Round,89,513,0,2,13,3,6,27,33,9,23,5,13,38,80,74,0,9,3,2,27,42,15,38,3,4,20,56,62
Joao Sousa,Igor Sijsling,Casablanca,7-Apr-14,Clay,First Round,38,55,0,2,12,2,0,22,27,11,19,4,11,29,60,62,0,6,3,4,16,26,15,34,1,2,13,46,44
Albert Montanes,Kenny De Schepper,Casablanca,7-Apr-14,Clay,First Round,57,62,0,2,12,4,3,27,29,8,19,4,11,33,71,68,0,5,3,8,28,45,10,26,0,4,13,48,51
Albert Ramos-Vinolas,Lamine Ouahab,Casablanca,7-Apr-14,Clay,First Round,104,248,0,2,14,2,1,24,39,11,23,7,11,42,81,77,1,10,0,1,27,48,12,33,5,7,27,62,66
Jiri Vesely,Leonardo Mayer,Casablanca,7-Apr-14,Clay,First Round,67,87,0,2,12,1,3,24,28,17,30,3,8,24,59,65,0,7,1,8,18,24,17,35,1,2,17,58,52
Guillermo Garcia-Lopez,Mikhail Kukushkin,Casablanca,7-Apr-14,Clay,First Round,53,56,0,2,14,3,7,32,46,20,45,4,11,47,106,99,0,12,0,1,38,59,21,47,4,5,39,91,98
Aleksandr Nedovyesov,Robin Haase,Casablanca,7-Apr-14,Clay,First Round,77,47,0,2,13,4,1,30,45,12,28,5,9,29,68,71,0,10,4,2,29,42,10,26,4,8,31,73,70
Carlos Berlocq,Teymuraz Gabashvili,Casablanca,7-Apr-14,Clay,First Round,61,58,0,2,12,3,2,25,36,11,16,4,8,23,48,59,0,5,1,8,15,18,10,30,1,3,16,52,41
Pablo Carreno Busta,Tobias Kamke,Casablanca,7-Apr-14,Clay,First Round,64,92,0,2,12,7,0,20,25,14,22,4,4,21,36,55,0,3,0,5,11,21,4,15,0,0,13,47,28
Benoit Paire,Albert Montanes,Casablanca,7-Apr-14,Clay,Second Round,33,57,0,2,17,13,3,40,53,24,40,3,7,34,98,98,1,15,3,6,43,58,21,40,2,5,29,93,93
Marcel Granollers,Albert Ramos-Vinolas,Casablanca,7-Apr-14,Clay,Second Round,36,104,0,2,13,8,0,33,38,15,23,1,4,21,63,69,0,9,0,2,23,31,19,32,0,0,13,61,55
Pablo Carreno Busta,Aleksandr Nedovyesov,Casablanca,7-Apr-14,Clay,Second Round,64,77,0,2,16,4,3,30,42,30,46,3,6,31,85,91,1,13,3,3,43,57,11,28,2,6,28,88,82
Guillermo Garcia-Lopez,Carlos Berlocq,Casablanca,7-Apr-14,Clay,Second Round,53,61,0,2,13,0,1,21,33,17,29,5,9,37,73,75,0,7,0,5,25,45,11,28,2,2,24,62,60
Federico Delbonis,Filip Peliwo,Casablanca,7-Apr-14,Clay,Second Round,43,266,0,2,18,5,3,40,53,22,40,5,10,42,99,104,1,13,7,10,42,54,15,45,2,3,31,93,88
Andrey Kuznetsov,Jiri Vesely,Casablanca,7-Apr-14,Clay,Second Round,142,67,1,2,9,1,0,18,23,6,13,4,6,19,35,43,0,3,0,3,11,20,5,15,1,1,12,36,28
Roberto Carballes Baena,Joao Sousa,Casablanca,7-Apr-14,Clay,Second Round,273,38,0,2,19,2,9,44,71,28,61,9,18,63,128,135,1,15,1,4,36,60,29,68,7,10,60,132,125
Victor Hanescu,Kevin Anderson,Casablanca,7-Apr-14,Clay,Second Round,89,19,0,2,12,0,5,36,48,12,23,2,5,18,55,66,0,8,4,4,24,30,13,25,0,5,23,71,60
Roberto Carballes Baena,Andrey Kuznetsov,Casablanca,7-Apr-14,Clay,Quarter-finals,273,142,0,2,12,2,2,35,58,19,33,4,6,25,52,79,0,6,2,2,17,24,10,28,1,15,37,91,64
Guillermo Garcia-Lopez,Benoit Paire,Casablanca,7-Apr-14,Clay,Quarter-finals,53,33,0,2,14,0,5,34,48,13,29,5,6,37,75,84,0,11,3,5,22,31,16,44,4,7,30,77,68
Marcel Granollers,Pablo Carreno Busta,Casablanca,7-Apr-14,Clay,Quarter-finals,36,64,0,2,18,9,6,41,49,21,45,6,15,41,96,103,1,10,3,0,31,48,24,48,1,3,32,94,87
Federico Delbonis,Victor Hanescu,Casablanca,7-Apr-14,Clay,Quarter-finals,43,89,0,2,13,1,1,35,49,12,28,4,6,31,74,78,0,9,3,3,37,52,6,22,2,9,30,77,73
Marcel Granollers,Federico Delbonis,Casablanca,7-Apr-14,Clay,Semi-finals,36,43,0,2,12,1,0,17,24,14,22,5,7,30,53,61,0,5,0,3,11,31,12,22,1,1,15,46,38
Guillermo Garcia-Lopez,Roberto Carballes Baena,Casablanca,7-Apr-14,Clay,Semi-finals,53,273,0,2,18,1,5,48,75,14,32,7,14,53,108,115,1,13,1,4,42,72,13,36,4,7,45,107,100
Guillermo Garcia-Lopez,Marcel Granollers,Casablanca,7-Apr-14,Clay,Finals,53,36,0,2,17,1,6,43,56,16,33,5,12,37,88,96,1,14,3,2,32,53,19,35,4,7,30,89,81
Sam Querrey,Alex Bogomolov Jr.,Houston,7-Apr-14,Clay,First Round,82,85,0,2,13,17,4,31,46,14,37,5,11,38,81,83,0,10,1,3,31,53,12,28,4,8,38,83,81
Michael Russell,Daniel Gimeno-Traver,Houston,7-Apr-14,Clay,First Round,97,102,0,2,13,1,2,40,52,9,20,2,6,36,85,85,0,9,6,2,34,52,15,33,1,2,23,72,72
Steve Johnson,Denis Kudla,Houston,7-Apr-14,Clay,First Round,69,108,0,2,13,5,2,29,39,20,37,2,8,38,88,87,0,9,1,4,34,56,16,32,1,3,27,76,77
Jack Sock,Ivo Karlovic,Houston,7-Apr-14,Clay,First Round,94,52,0,2,12,3,4,29,31,5,13,4,6,21,46,55,0,5,8,2,19,24,6,22,1,2,10,44,35
Alejandro Gonzalez,Marcos Baghdatis,Houston,7-Apr-14,Clay,First Round,79,129,0,2,16,0,1,31,52,26,48,7,9,39,77,96,1,9,5,9,28,41,10,36,3,13,43,100,81
Santiago Giraldo,Matthew Ebden,Houston,7-Apr-14,Clay,First Round,84,63,0,2,12,0,0,20,28,9,11,5,8,27,48,56,0,3,3,9,18,22,3,26,0,0,10,39,31
Lleyton Hewitt,Peter Polansky,Houston,7-Apr-14,Clay,First Round,46,135,0,2,15,1,12,30,59,19,42,8,13,41,80,90,1,14,3,3,32,51,7,29,8,16,52,101,91
Dustin Brown,Rhyne Williams,Houston,7-Apr-14,Clay,First Round,101,153,0,2,12,5,1,20,24,12,19,4,7,22,42,54,0,3,0,0,13,26,7,16,0,0,11,43,31
Feliciano Lopez,Robby Ginepri,Houston,7-Apr-14,Clay,First Round,31,329,0,2,13,6,1,20,29,18,30,5,12,30,62,68,0,7,2,2,20,38,12,24,2,4,21,59,53
Benjamin Becker,Ruben Ramirez Hidalgo,Houston,7-Apr-14,Clay,First Round,68,165,0,2,13,7,9,31,39,13,33,4,10,34,73,78,1,10,1,5,27,41,12,32,3,4,28,72,67
Donald Young,Ryan Harrison,Houston,7-Apr-14,Clay,First Round,91,115,0,2,12,1,0,18,21,10,11,5,8,23,37,51,0,1,0,1,12,24,2,13,0,0,4,32,18
Juan Monaco,Somdev Devvarman,Houston,7-Apr-14,Clay,First Round,42,88,0,2,13,3,0,24,36,15,23,4,8,30,67,69,0,8,3,1,26,39,11,28,2,2,20,59,57
Jack Sock,Benjamin Becker,Houston,7-Apr-14,Clay,Second Round,94,68,0,2,12,3,2,15,22,20,26,4,10,32,70,67,0,7,3,3,21,35,17,35,1,5,13,48,51
Alejandro Gonzalez,Feliciano Lopez,Houston,7-Apr-14,Clay,Second Round,79,31,1,2,8,3,2,15,17,10,15,2,2,14,32,39,0,3,4,3,11,14,7,18,0,0,7,32,25
Dustin Brown,John Isner,Houston,7-Apr-14,Clay,Second Round,101,9,0,2,19,12,10,68,83,26,52,1,3,37,116,131,1,17,13,2,50,68,29,48,0,9,41,135,120
Donald Young,Juan Monaco,Houston,7-Apr-14,Clay,Second Round,91,42,0,2,18,3,6,43,55,19,39,7,8,45,99,107,1,14,1,2,36,63,18,36,4,14,32,94,86
Sam Querrey,Lleyton Hewitt,Houston,7-Apr-14,Clay,Second Round,82,46,0,2,12,8,3,31,39,8,23,4,5,27,57,66,0,7,1,4,17,21,13,36,2,5,23,62,53
Nicolas Almagro,Michael Russell,Houston,7-Apr-14,Clay,Second Round,20,97,0,2,12,7,6,20,23,17,30,4,8,25,52,62,0,5,2,2,15,27,12,25,1,2,16,53,43
Fernando Verdasco,Steve Johnson,Houston,7-Apr-14,Clay,Second Round,29,69,0,2,16,3,4,38,45,13,24,4,5,30,73,81,1,9,1,3,29,36,14,37,1,4,18,69,61
Santiago Giraldo,Tommy Robredo,Houston,7-Apr-14,Clay,Second Round,84,14,0,2,12,5,1,25,36,20,29,2,4,24,58,69,0,7,3,2,23,34,11,24,0,4,20,65,54
Santiago Giraldo,Alejandro Gonzalez,Houston,7-Apr-14,Clay,Quarter-finals,84,79,0,2,12,1,0,28,40,16,27,3,6,18,49,62,0,7,1,2,13,22,18,27,1,8,23,67,54
Fernando Verdasco,Donald Young,Houston,7-Apr-14,Clay,Quarter-finals,29,91,0,2,13,5,2,34,50,10,14,3,3,28,60,72,0,7,0,5,25,39,7,21,1,5,20,64,52
Sam Querrey,Dustin Brown,Houston,7-Apr-14,Clay,Quarter-finals,82,101,0,2,18,15,6,49,59,24,47,2,6,38,101,111,1,13,10,6,42,57,21,44,0,4,33,106,96
Nicolas Almagro,Jack Sock,Houston,7-Apr-14,Clay,Quarter-finals,20,94,0,2,12,7,0,22,25,14,16,3,6,24,57,60,0,6,5,5,20,31,13,26,0,0,5,41,38
Fernando Verdasco,Santiago Giraldo,Houston,7-Apr-14,Clay,Semi-finals,29,84,0,2,13,1,4,32,47,9,17,5,6,29,62,70,0,9,1,3,20,35,13,27,3,6,23,64,56
Fernando Verdasco,Nicolas Almagro,Houston,7-Apr-14,Clay,Finals,29,20,0,2,13,4,1,50,76,10,20,2,9,24,66,84,0,9,8,1,26,36,16,30,1,7,36,96,78
Guillermo Garcia-Lopez,Benjamin Balleret,Monte-Carlo,14-Apr-14,Clay,First Round,38,275,0,2,13,0,4,28,31,13,21,3,9,31,69,72,0,7,3,1,20,38,18,31,0,1,11,52,49
Albert Montanes,Benoit Paire,Monte-Carlo,14-Apr-14,Clay,First Round,57,34,0,2,17,3,1,44,61,18,28,4,15,46,109,108,1,13,5,6,39,52,24,57,2,6,27,89,90
Tommy Robredo,David Goffin,Monte-Carlo,14-Apr-14,Clay,First Round,18,105,0,2,12,3,2,29,43,14,24,4,11,24,49,67,0,5,1,2,19,30,6,19,1,9,24,67,49
Nicolas Mahut,Dominic Thiem,Monte-Carlo,14-Apr-14,Clay,First Round,40,84,0,2,16,11,4,48,62,16,40,4,11,41,96,105,1,11,1,2,38,66,17,30,2,12,38,102,93
Pablo Andujar,Edouard Roger-Vasselin,Monte-Carlo,14-Apr-14,Clay,First Round,36,42,0,2,16,5,4,41,67,25,43,4,11,46,113,112,1,17,0,2,48,68,19,45,5,11,44,110,111
Alexandr Dolgopolov,Ernests Gulbis,Monte-Carlo,14-Apr-14,Clay,First Round,22,23,0,2,12,5,1,20,24,17,30,4,11,36,77,73,0,6,7,7,28,40,13,37,1,2,17,54,58
